TIME in ms	LEFT_CANARD	RIGHT_CANARD	LEFT_SLAT	RIGHT_SLAT	AIRBRAKE	RUDDER	LEFT_OB_FLAP	LEFT_IB_FLAP	RIGHT_IB_FLAP	RIGHT_OB_FLAP	LEFT_NOZZLE	RIGHT_NOZZLE	
0	58	125	180	180	160	89	110	66	106	118	75	74
100	58	125	180	180	160	89	110	66	106	118	75	74
200	58	125	180	180	160	89	110	66	106	118	75	74
300	58	125	180	180	160	89	110	66	106	118	75	74
400	58	125	180	180	160	89	110	66	106	118	75	74
500	58	125	180	180	160	89	110	66	106	118	75	74
600	58	125	180	180	160	89	110	66	106	118	75	74
700	58	125	180	180	160	89	110	66	106	118	75	74
800	58	125	180	180	160	89	110	66	106	118	75	74
900	58	125	180	180	160	89	110	66	106	118	75	74
1000	58	125	180	180	160	89	110	66	106	118	75	74
1100	58	125	180	180	160	89	110	66	106	118	75	74
1200	58	125	180	180	160	89	110	66	106	118	75	74
1300	58	125	180	180	160	89	110	66	106	118	75	74
1400	58	125	180	180	160	89	110	66	106	118	75	74
1500	58	125	180	180	160	89	110	66	106	118	75	74
1600	58	125	180	180	160	89	110	66	106	118	75	74
1700	58	125	180	180	160	89	110	66	106	118	75	74
1800	58	125	180	180	160	89	110	66	106	118	75	74
1900	58	125	180	180	160	89	110	66	106	118	75	74
2000	58	125	180	180	160	89	110	66	106	118	75	74
2100	58	125	180	180	160	89	110	66	106	118	75	74
2200	58	125	180	180	160	89	110	66	106	118	75	74
2300	58	125	180	180	160	89	110	66	106	118	75	74
2400	58	125	180	180	160	89	110	66	106	118	75	74
2500	58	125	180	180	160	89	110	66	106	118	75	74
2600	58	125	180	180	160	89	110	66	106	118	75	74
2700	58	125	180	180	160	89	110	66	106	118	75	74
2800	58	125	180	180	160	89	110	66	106	118	75	74
2900	58	125	180	180	160	89	110	66	106	118	75	74
3000	58	125	180	180	160	89	110	66	106	118	75	74
3100	58	125	180	180	160	89	110	66	106	118	75	74
3200	58	125	180	180	160	89	110	66	106	118	75	74
3300	58	125	180	180	160	89	110	66	106	118	75	74
3400	58	125	180	180	160	89	110	66	106	118	75	74
3500	58	125	180	180	160	89	110	66	106	118	75	74
3600	58	125	180	180	160	89	110	66	106	118	75	74
3700	58	125	180	180	160	89	110	66	106	118	75	74
3800	58	125	180	180	160	89	110	66	106	118	75	74
3900	58	125	180	180	160	89	110	66	106	118	75	74
4000	58	125	180	180	160	89	110	66	106	118	75	74
4100	58	125	180	180	160	89	110	66	106	118	75	74
4200	58	125	180	180	160	89	110	66	106	118	75	74
4300	58	125	180	180	160	89	110	66	106	118	75	74
4400	58	125	180	180	160	89	110	66	106	118	75	74
4500	58	125	180	180	160	89	110	66	106	118	75	74
4600	58	125	180	180	160	89	110	66	106	118	75	74
4700	58	125	180	180	160	89	110	66	106	118	75	74
4800	58	125	180	180	160	89	110	66	106	118	75	74
4900	58	125	180	180	160	89	110	66	106	118	75	74
5000	58	125	180	180	160	89	110	66	106	118	75	74
5100	58	125	180	180	160	89	110	66	106	118	75	74
5200	58	125	180	180	160	89	110	66	106	118	75	74
5300	58	125	180	180	160	89	110	66	106	118	75	74
5400	58	125	180	180	160	89	110	66	106	118	75	74
5500	58	125	180	180	160	89	110	66	106	118	75	74
5600	58	125	180	180	160	89	110	66	106	118	75	74
5700	58	125	180	180	160	89	110	66	106	118	75	74
5800	58	125	180	180	160	89	110	66	106	118	75	74
5900	58	125	180	180	160	89	110	66	106	118	75	74
6000	58	125	180	180	160	89	110	66	106	118	75	74
6100	58	125	180	180	160	89	110	66	106	118	75	74
6200	58	125	180	180	160	89	110	66	106	118	75	74
6300	58	125	180	180	160	89	110	66	106	118	75	74
6400	58	125	180	180	160	89	110	66	106	118	75	74
6500	58	125	180	180	160	89	110	66	106	118	75	74
6600	58	125	180	180	160	89	110	66	106	118	75	74
6700	58	125	180	180	160	89	110	66	106	118	75	74
6800	58	125	180	180	160	89	110	66	106	118	75	74
6900	58	125	180	180	160	89	110	66	106	118	75	74
7000	58	125	180	180	160	89	110	66	106	118	75	74
7100	58	125	180	180	160	89	110	66	106	118	75	74
7200	58	125	180	180	160	89	110	66	106	118	75	74
7300	58	125	180	180	160	89	110	66	106	118	75	74
7400	58	125	180	180	160	89	110	66	106	118	75	74
7500	58	125	180	180	160	89	110	66	106	118	75	74
7600	58	125	180	180	160	89	110	66	106	118	75	74
7700	58	125	180	180	160	89	110	66	106	118	75	74
7800	58	125	180	180	160	89	110	66	106	118	75	74
7900	58	125	180	180	160	89	110	66	106	118	75	74
8000	58	125	180	180	160	89	110	66	106	118	75	74
8100	58	125	180	180	160	89	110	66	106	118	75	74
8200	58	125	180	180	160	89	110	66	106	118	75	74
8300	58	125	180	180	160	89	110	66	106	118	75	74
8400	58	125	180	180	160	89	110	66	106	118	75	74
8500	58	125	180	180	160	89	110	66	106	118	75	74
8600	58	125	180	180	160	89	110	66	106	118	75	74
8700	58	125	180	180	160	89	110	66	106	118	75	74
8800	58	125	180	180	160	89	110	66	106	118	75	74
8900	58	125	180	180	160	89	110	66	106	118	75	74
9000	58	125	180	180	160	89	110	66	106	118	75	74
9100	58	125	180	180	160	89	110	66	106	118	75	74
9200	58	125	180	180	160	89	110	66	106	118	75	74
9300	58	125	180	180	160	89	110	66	106	118	75	74
9400	58	125	180	180	160	89	110	66	106	118	75	74
9500	58	125	180	180	160	89	110	66	106	118	75	74
9600	58	125	180	180	160	89	110	66	106	118	75	74
9700	58	125	180	180	160	89	110	66	106	118	75	74
9800	58	125	180	180	160	89	110	66	106	118	75	74
9900	58	125	180	180	160	89	110	66	106	118	75	74
10000	58	125	180	180	160	89	110	66	106	118	75	74
10100	58	125	180	180	160	89	110	66	106	118	75	74
10200	58	125	180	180	160	89	110	66	106	118	75	74
10300	58	125	180	180	160	89	110	66	106	118	75	74
10400	58	125	180	180	160	89	110	66	106	118	75	74
10500	58	125	180	180	160	89	110	66	106	118	75	74
10600	58	125	180	180	160	89	110	66	106	118	75	74
